curso,departamento,campus,turno,area_conhecimento,grau_academico,categoria_grau,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
ENGENHARIA QUIMICA,INSTITUTO DE QUIMICA,DARCY RIBEIRO,DIURNO,ENGENHARIAS,BACHAREL,BACHARELADO,10.0,12.0,18.0,3960,397,156,181,39.29,45.59,23.08,70.51,29.49,0.64,11.82,12.0,-0.18,27.0,RETENÇÃO MÉDIA,157,113.0,29.0,50.0,585600.0,39.55
GESTAO DE POLITICAS PUBLICAS,"FACULD. DE ECONOMIA, ADMINISTRACAO E CONTABILIDADE",DARCY RIBEIRO,NOTURNO,CIENCIAS HUMANAS,BACHAREL,BACHARELADO,8.0,12.0,16.0,3000,667,301,303,45.13,45.43,23.59,87.04,12.96,2.99,10.0,10.0,-2.0,26.9,RETENÇÃO MÉDIA,44,34.0,8.0,21.0,177600.0,6.6
TERAPIA OCUPACIONAL,UNB - FACULDADE DA CEILANDIA,FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAUDE (FCTS),DIURNO,CIENCIAS DA SAUDE,BACHAREL,BACHARELADO,8.0,10.0,12.0,3510,593,285,244,48.06,41.15,9.47,67.37,32.63,18.95,10.22,10.0,0.22,26.0,RETENÇÃO MÉDIA,109,80.0,21.0,53.0,398400.0,18.38
FONOAUDIOLOGIA,UNB - FACULDADE DA CEILANDIA,FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAUDE (FCTS),DIURNO,CIENCIAS DA SAUDE,BACHAREL,BACHARELADO,8.0,8.0,14.0,3510,219,143,60,65.3,27.4,34.27,34.27,65.73,0.7,9.13,9.0,1.13,25.1,RETENÇÃO MÉDIA,162,98.0,49.0,77.0,470400.0,73.97
GESTAO DO AGRONEGOCIO,UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA (FUP),DIURNO,CIENCIAS EXATAS E DA TERRA,BACHAREL,BACHARELADO,8.0,12.0,16.0,3000,521,231,219,44.34,42.03,22.08,89.18,10.82,0.87,9.94,10.0,-2.06,24.3,RETENÇÃO MÉDIA,27,19.0,6.0,9.0,91200.0,5.18
CIENCIAS SOCIAIS,INSTITUTO DE CIENCIAS SOCIAIS,DARCY RIBEIRO,DIURNO,CIENCIAS SOCIAIS APLICADAS,MISTO (BACHARELADO + LICENCIATURA),MISTO,6.0,10.0,14.0,2745,2216,1006,908,45.4,40.97,7.36,58.95,41.05,8.85,10.07,10.0,0.07,24.3,RETENÇÃO MÉDIA,382,277.0,94.0,184.0,1340400.0,17.24
ENGENHARIA DE PRODUCAO,FACULDADE DE TECNOLOGIA,DARCY RIBEIRO,NOTURNO,ENGENHARIAS,BACHAREL,BACHARELADO,10.0,14.0,18.0,3600,699,313,291,44.78,41.63,12.14,81.47,18.53,2.56,12.76,13.0,-1.24,24.0,RETENÇÃO MÉDIA,49,40.0,9.0,18.0,195600.0,7.01
CIENCIAS CONTABEIS,DEPTO DE CIENCIAS CONTABEIS E ATUARIAIS,DARCY RIBEIRO,DIURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,10.0,11.0,14.0,3000,1957,942,805,48.13,41.13,62.53,76.01,23.99,7.11,10.2,10.0,-0.8,23.7,RETENÇÃO BAIXA,129,73.0,48.0,54.0,350400.0,6.59
PEDAGOGIA,FACULDADE DE EDUCACAO,DARCY RIBEIRO,DIURNO,CIENCIAS HUMANAS,LICENCIADO,LICENCIATURA,6.0,10.0,14.0,3330,2140,1108,871,51.78,40.7,5.6,72.65,27.35,5.42,9.67,10.0,-0.33,23.3,RETENÇÃO BAIXA,238,175.0,53.0,127.0,865200.0,11.12
ENGENHARIA MECANICA,DEPARTAMENTO DE ENGENHARIA MECANICA,DARCY RIBEIRO,DIURNO,ENGENHARIAS,ENGENHEIRO MECANICO,BACHARELADO,8.0,13.0,18.0,3930,637,284,258,44.58,40.5,3.87,71.13,28.87,2.82,12.51,12.0,-0.49,23.2,RETENÇÃO BAIXA,153,119.0,24.0,38.0,589200.0,24.02
FARMACIA,FACULDADE DE CIENCIAS DA SAUDE,FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAUDE (FCTS),DIURNO,CIENCIAS DA SAUDE,BACHAREL,BACHARELADO,10.0,12.0,18.0,4395,1503,708,599,47.11,39.85,25.56,74.29,25.71,0.71,11.59,11.0,-0.41,22.7,RETENÇÃO BAIXA,697,498.0,156.0,263.0,2451600.0,46.37
DESIGN - PROJETO DO PRODUTO,DEPARTAMENTO DE DESIGN,DARCY RIBEIRO,DIURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,7.0,11.0,14.0,2940,129,92,35,71.32,27.13,2.17,40.22,59.78,18.48,11.87,12.0,0.87,22.2,RETENÇÃO BAIXA,6,5.0,1.0,3.0,24000.0,4.65
GEOLOGIA,INSTITUTO DE GEOCIENCIAS,DARCY RIBEIRO,DIURNO,CIENCIAS EXATAS E DA TERRA,GEOLOGO,BACHARELADO,8.0,12.0,16.0,3960,432,201,161,46.53,37.27,5.47,67.16,32.84,2.99,11.98,12.0,-0.02,20.8,RETENÇÃO BAIXA,255,168.0,57.0,87.0,882000.0,59.03
PSICOLOGIA,DIRECAO DO INSTITUTO DE PSICOLOGIA,DARCY RIBEIRO,DIURNO,CIENCIAS HUMANAS,MISTO (BACHARELADO + LICENCIATURA),MISTO,8.0,11.0,14.0,4230,972,648,292,66.67,30.04,5.86,53.55,46.45,14.04,11.52,11.0,0.52,20.8,RETENÇÃO BAIXA,252,189.0,50.0,102.0,918000.0,25.93
ENGENHARIA AMBIENTAL,DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL,DARCY RIBEIRO,DIURNO,ENGENHARIAS,ENGENHEIRO,BACHARELADO,10.0,14.0,18.0,3900,509,184,189,36.15,37.13,9.78,83.7,16.3,2.72,12.93,13.0,-1.07,20.7,RETENÇÃO BAIXA,125,98.0,17.0,35.0,470400.0,24.56
RELACOES INTERNACIONAIS,INSTITUTO DE RELACOES INTERNACIONAIS,DARCY RIBEIRO,DIURNO,CIENCIAS HUMANAS,BACHAREL,BACHARELADO,6.0,9.0,12.0,2790,868,538,270,61.98,31.11,3.16,51.86,48.14,8.55,9.43,9.0,0.43,20.6,RETENÇÃO BAIXA,141,93.0,45.0,65.0,446400.0,16.24
ENGENHARIA ELETRONICA,UNB - FACULDADE DO GAMA,FACULDADE DE CIENCIAS E TECNOLOGIAS EM ENGENHARIA (FCTE),DIURNO,ENGENHARIAS,BACHAREL,BACHARELADO,10.0,13.0,16.0,3855,375,186,136,49.6,36.27,16.67,67.74,32.26,11.83,12.56,12.0,-0.44,20.0,RETENÇÃO BAIXA,124,91.0,27.0,39.0,444000.0,33.07
CIENCIAS BIOLOGICAS,INSTITUTO DE CIENCIAS BIOLOGICAS,DARCY RIBEIRO,DIURNO,CIENCIAS BIOLOGICAS,MISTO (BACHARELADO + LICENCIATURA),MISTO,8.0,11.0,14.0,3210,1521,843,541,55.42,35.57,13.88,69.4,30.6,9.61,10.55,10.0,-0.45,19.5,RETENÇÃO BAIXA,574,415.0,120.0,222.0,2028000.0,37.74
MEDICINA VETERINARIA,FACULDADE DE AGRONOMIA E MEDICINA VETERINARIA,DARCY RIBEIRO,DIURNO,CIENCIAS AGRARIAS,MEDICO VETERINARIO,BACHARELADO,10.0,14.5,19.0,4200,528,293,187,55.49,35.42,17.41,87.71,12.29,0.34,12.17,12.0,-2.33,19.4,RETENÇÃO BAIXA,281,184.0,73.0,112.0,926400.0,53.22
