curso,departamento,campus,turno,area_conhecimento,grau_academico,categoria_grau,semestre_minimo_previsto,semestre_ideal_previsto,semestre_maximo_previsto,carga_horaria_minima,total_discentes_registrados,total_formados,total_evadidos_desligados,taxa_formatura_pct,taxa_evasao_pct,formados_tempo_minimo_pct,formados_tempo_ideal_pct,formados_acima_ideal_pct,formados_limite_maximo_pct,tempo_medio_real_semestres,tempo_mediano_real_semestres,desvio_medio_semestres,indice_retencao_critica,classificacao_retencao,pibic_total_projetos,pibic_bolsas_remuneradas,pibic_bolsas_voluntarias,pibic_cotistas,pibic_investimento_total,pibic_projetos_por_100_alunos
LETRAS - LINGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA,INSTITUTO DE LETRAS,DARCY RIBEIRO,NOTURNO,"LINGUISTICA, LETRAS E ARTES",LICENCIADO,LICENCIATURA,8.0,12.0,16.0,2550,819,210,508,25.64,62.03,16.67,73.81,26.19,10.48,11.07,11.0,-0.93,39.4,RETENÇÃO ALTA,54,26.0,28.0,22.0,124800.0,6.59
"EDUCACAO DO CAMPO - LINGUAGENS, ARTES E LITERATURA",UNB - FACULDADE DE PLANALTINA,FACULDADE DE PLANALTINA (FUP),DIURNO,CIENCIAS HUMANAS,LICENCIADO,LICENCIATURA,8.0,10.0,12.0,4255,300,129,162,43.0,54.0,11.63,71.32,28.68,20.16,10.48,10.0,0.48,38.3,RETENÇÃO ALTA,28,20.0,8.0,13.0,96000.0,9.33
MUSICA - TROMPETE,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,DIURNO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,BACHARELADO,6.0,8.0,10.0,2070,5,2,3,40.0,60.0,50.0,50.0,50.0,50.0,8.0,8.0,0.0,37.8,RETENÇÃO ALTA,0,,,,0.0,0.0
LETRAS - LINGUA PORTUGUESA E RESPECTIVA LITERATURA,INSTITUTO DE LETRAS,DARCY RIBEIRO,DIURNO,"LINGUISTICA, LETRAS E ARTES",MISTO (BACHARELADO + LICENCIATURA),MISTO,6.0,10.0,14.0,3240,1597,643,850,40.26,53.22,6.38,58.16,41.84,13.37,10.44,10.0,0.44,37.3,RETENÇÃO ALTA,218,132.0,71.0,75.0,658800.0,13.65
CIENCIAS AMBIENTAIS,INSTITUTO DE GEOCIENCIAS,DARCY RIBEIRO,NOTURNO,CIENCIAS SOCIAIS APLICADAS,BACHAREL,BACHARELADO,7.0,11.0,14.0,2700,527,166,267,31.5,50.66,1.81,52.41,47.59,22.29,11.55,11.0,0.55,36.6,RETENÇÃO ALTA,87,67.0,17.0,21.0,325200.0,16.51
MUSICA - COMPOSICAO,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,DIURNO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,BACHARELADO,12.0,14.0,16.0,3330,36,14,21,38.89,58.33,50.0,64.29,35.71,14.29,12.57,12.5,-1.43,36.6,RETENÇÃO ALTA,2,2.0,0.0,0.0,9600.0,5.56
LETRAS - LINGUA INGLESA E RESPECTIVA LITERATURA,INSTITUTO DE LETRAS,DARCY RIBEIRO,DIURNO,"LINGUISTICA, LETRAS E ARTES",MISTO (BACHARELADO + LICENCIATURA),MISTO,6.0,10.0,14.0,3540,824,322,439,39.08,53.28,7.76,53.11,46.89,12.11,10.36,10.0,0.36,36.5,RETENÇÃO ALTA,121,67.0,52.0,57.0,332400.0,14.68
QUIMICA TECNOLOGICA,INSTITUTO DE QUIMICA,DARCY RIBEIRO,DIURNO,CIENCIAS EXATAS E DA TERRA,BACHAREL,BACHARELADO,8.0,13.0,18.0,3300,427,83,246,19.44,57.61,9.64,81.93,18.07,3.61,11.33,11.0,-1.67,36.0,RETENÇÃO ALTA,95,67.0,18.0,16.0,321600.0,22.25
MUSICA - CONTRABAIXO,DEPARTAMENTO DE MUSICA,DARCY RIBEIRO,DIURNO,"LINGUISTICA, LETRAS E ARTES",BACHAREL,BACHARELADO,6.0,8.0,10.0,2070,7,4,3,57.14,42.86,25.0,50.0,50.0,50.0,9.0,9.5,1.0,35.4,RETENÇÃO ALTA,0,,,,0.0,0.0
LETRAS - PORTUGUES DO BRASIL COMO SEGUNDA LINGUA,INSTITUTO DE LETRAS,DARCY RIBEIRO,DIURNO,"LINGUISTICA, LETRAS E ARTES",LICENCIADO,LICENCIATURA,6.0,10.0,14.0,2820,366,104,205,28.42,56.01,2.88,61.54,38.46,7.69,10.04,9.5,0.04,35.3,RETENÇÃO ALTA,25,19.0,6.0,13.0,94800.0,6.83
